Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective January 1, 2023 through March 31, 2023",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q22 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,128.051,,,,,,
90375,Rabies ig im/sc,150 IU,278.236,,,,,,
90376,Rabies ig heat treated,150 IU,320.862,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,247.286,,,,,,
90586,Bcg vaccine intravesical,1 EACH,143.205,,,,,,
90632,Hepa vaccine adult im,1 ML,70.169,,,,,,
90662,Iiv no prsv increased ag im,0.5 ML,69.941,95,69.941,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,257.989,95,257.989,,,,
90671,PCV15 vaccine IM,1 EA,246.195,95,246.195,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,32.278,95,32.278,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,355.217,,,,,,
90677,Pcv20 vaccine im,0.5 ML,283.717,95,283.717,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,69.941,95,69.941,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,21.518,95,21.518,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,10.241,95,10.241,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,20.482,95,20.482,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,71.682,95,71.682,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90714,Td vacc no presv 7 yrs+ im,0.5 ML,27.781,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,37.498,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,95,133.472,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,152.076,95,152.076,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,146.329,95,146.329,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,73.847,95,73.847,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,29.895,95,29.895,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.376,95,70.376,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.752,95,140.752,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,30.581,95,30.581,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,95,73.815,,,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.142,,,,,,
A9576,Inj prohance multipack,1 ML,1.424,,,,,,
A9577,Inj multihance,1 ML,1.843,,,,,,
A9578,Inj multihance multipack,1 ML,1.808,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.581,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.748,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.332,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1230.840,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"microCurie 100% AWP = $176.640
microCurie 100% WAC = $147.200"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.680,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.054,,,,,,
J0129,Abatacept injection,10 MG,43.498,,,,,,"""lesser of"" methodology applied"
J0131,"Inj, acetaminophen (nos)",10 MG,0.101,,,,,,Added January 2023
J0132,Acetylcysteine injection,100 MG,0.989,,,,,,
J0133,Acyclovir injection,5 MG,0.050,,,,,,
J0134,Inj acetaminophen -fresenius,10 MG,0.139,,,,,,Added January 2023
J0136,"Inj, acetaminophen (b braun)",10 MG,0.049,,,,,,Added January 2023
J0153,Adenosine inj 1mg,1 MG,0.515,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.723,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,5.978,,,,,,
J0178,Aflibercept injection,1 MG,898.327,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,313.475,,,,,,
J0180,Agalsidase beta injection,1 MG,208.324,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.729,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2244.919,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,72.506,,,,,,
J0221,Lumizyme injection,10 MG,188.444,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,100.746,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,109.817,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,310.899,,,,,,Added January 2023
J0248,"Inj, remdesivir, 1 mg",1 MG,5.508,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.592,,,,,,
J0257,Glassia injection,10 MG,5.099,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.859,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,13.094,,,,,,
J0285,Amphotericin b,50 MG,41.818,,,,,,
J0287,Amphotericin b lipid complex,10 MG,10.299,,,,,,
J0289,Amphotericin b liposome inj,10 MG,24.520,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.728,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.438,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.282,,,,,,
J0348,Anidulafungin injection,1 MG,0.513,,,,,,
J0360,Hydralazine hcl injection,20 MG,6.758,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,6.419,,,,,,
J0456,Azithromycin,500 MG,2.566,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.064,,,,,,
J0475,Baclofen 10 mg injection,10 MG,185.923,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,59.698,,,,,,
J0480,Basiliximab,20 MG,4238.688,,,,,,
J0485,Belatacept injection,1 MG,3.783,,,,,,
J0490,Belimumab injection,10 MG,50.199,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,16.316,,,,,,
J0500,Dicyclomine injection,20 MG,24.188,,,,,,
J0515,Inj benztropine mesylate,1 MG,17.464,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,168.248,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",13.880,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",18.112,,,,,,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.896,,,,,,
J0583,Bivalirudin,1 MG,0.261,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,411.016,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.319,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.731,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.475,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.137,,,,,,
