Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective January 1, 2018 through March 31, 2018",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q17 ASP data.,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,116.001,,,,,,
90375,Rabies ig im/sc,150 IU,302.470,,,,,,
90376,Rabies ig heat treated,150 IU,332.431,,,,,,
90585,Bcg vaccine percut,50 MG,132.786,,,,,,
90586,Bcg vaccine intravesical,1 EACH,132.786,,,,,,
90630,Flu vacc iiv4 no preserv id,0.1 ml,20.343,95,20.343,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90632,Hepa vaccine adult im,1 ML,51.383,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,50.217,95,50.217,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90656,Iiv3 vacc no prsv 0.5 ml im,0.5 ML,19.247,95,19.247,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90662,Iiv no prsv increased ag im,0.5 ML,49.025,95,49.025,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,192.637,95,192.637,,,,
90673,Riv3 vaccine no preserv im,0.5 ML,40.613,95,40.613,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,24.047,95,24.047,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
