Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective October 1, 2017 through December 31, 2017",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q17 ASP data.,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,124.273,,,,,,
90375,Rabies ig im/sc,150 IU,314.271,,,,,,
90376,Rabies ig heat treated,150 IU,317.428,,,,,,
90585,Bcg vaccine percut,50 MG,131.252,,,,,,
90586,Bcg vaccine intravesical,1 EACH,131.252,,,,,,
90630,Flu vacc iiv4 no preserv id,0.1 ml,20.343,95,20.343,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90632,Hepa vaccine adult im,1 ML,53.385,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,50.217,95,50.217,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90656,Iiv3 vacc no prsv 0.5 ml im,0.5 ML,19.247,95,19.247,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90662,Iiv no prsv increased ag im,0.5 ML,49.025,95,49.025,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,192.637,95,192.637,,,,
90673,Riv3 vaccine no preserv im,0.5 ML,40.613,95,40.613,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,24.047,95,24.047,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,269.123,,,,,,
90682,RIV4 VACC RECOMBINANT DNA IM,0.5 ML,46.313,95,46.313,,,,"Added October 2017
see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates"
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.198,95,21.198,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,Typhoid vaccine im,0.5 ML,82.163,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,22.073,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,31.667,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,98.849,95,98.849,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,126.597,95,126.597,,,,
90743,Hepb vacc 2 dose adolesc im,1 DOSE,26.135,95,26.135,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,26.135,95,26.135,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,63.299,95,63.299,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,126.597,95,126.597,,,,
90756,CCIIV4 VACC ABX FREE IM,0.5 ML,22.793,95,22.793,,,,"Added October 2017
see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates"
A9575,Inj gadoterate meglumi 0.1ml,0.1 ml,0.224,,,,,,
A9576,Inj prohance multipack,1 ML,1.729,,,,,,
A9577,Inj multihance,1 ML,2.080,,,,,,
A9578,Inj multihance multipack,1 ML,1.992,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.985,,,,,,
A9581,Gadoxetate disodium inj,1 ML,13.938,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.378,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"
microCurie 100% AWP = $154.670
microCurie 100% WAC = $128.890
"
J0129,Abatacept injection,10 MG,49.589,,,,,,
J0130,Abciximab injection,10 MG,1215.197,,,,,,
J0132,Acetylcysteine injection,100 MG,1.227,,,,,,
J0133,Acyclovir injection,5 MG,0.072,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.605,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.813,,,,,,
J0178,Aflibercept injection,1 MG,974.587,,,,,,
J0180,Agalsidase beta injection,1 MG,171.065,,,,,,
J0202,"Injection, alemtuzumab",1 MG,1778.597,,,,,,
J0207,Amifostine,500 MG,959.810,,,,,,
J0221,Lumizyme injection,10 MG,159.734,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.937,,,,,,
J0257,Glassia injection,10 MG,4.569,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.632,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,9.217,,,,,,
J0285,Amphotericin b,50 MG,32.783,,,,,,
J0287,Amphotericin b lipid complex,10 MG,13.859,,,,,,
J0289,Amphotericin b liposome inj,10 MG,21.515,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,1.108,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,2.972,,,,,,
J0348,Anidulafungin injection,1 MG,0.536,,,,,,
J0360,Hydralazine hcl injection,20 MG,3.264,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,4.886,,,,,,
J0456,Azithromycin,500 MG,3.368,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.052,,,,,,
J0470,Dimecaprol injection,100 MG,52.694,,,,,,
J0475,Baclofen 10 mg injection,10 MG,164.619,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,70.337,,,,,,
J0480,Basiliximab,20 MG,3440.367,,,,,,
J0485,Belatacept injection,1 MG,3.935,,,,,,
J0490,Belimumab injection,10 MG,42.808,,,,,,
J0500,Dicyclomine injection,20 MG,74.943,,,,,,
J0515,Inj benztropine mesylate,1 MG,20.220,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",9.337,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",11.921,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1261.308,,,,,,
J0583,Bivalirudin,1 MG,1.227,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.031,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.261,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,11.978,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.082,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,3.450,,,,,,
J0594,Busulfan injection,1 MG,34.725,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.549,,,,,,
J0596,"Injection, ruconest",10 UNITS,27.987,,,,,,Added October 2017
J0597,"C-1 esterase, berinert",10 UNITS,48.973,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,57.210,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,
J0610,Calcium gluconate injection,10 ML,2.984,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2287.942,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.657,,,,,,
J0637,Caspofungin acetate,5 MG,12.461,,,,,,
J0638,Canakinumab injection,1 MG,106.118,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.233,,,,,,
J0641,Levoleucovorin injection,0.5 MG,0.532,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,2.662,,,,,,AMP-based payment limit
J0690,Cefazolin sodium injection,500 MG,0.859,,,,,,
J0692,Cefepime hcl for injection,500 MG,2.889,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.852,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.657,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.696,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,8.176,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,2.625,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.393,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,7.467,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,39.425,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,20.534,,,,,,
J0735,Clonidine hydrochloride,1 MG,12.147,,,,,,
J0740,Cidofovir injection,375 MG,477.545,,,,,,
J0743,Cilastatin sodium injection,250 MG,5.619,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.292,,,,,,
J0770,Colistimethate sodium inj,150 MG,14.378,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,41.833,,,,,,
J0780,Prochlorperazine injection,10 MG,9.768,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,8.614,,,,,,
J0800,Corticotropin injection,40 UNITS,3771.358,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,43.055,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2870.724,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1128.705,,,,,,
J0875,"Injection, dalbavancin",5 MG,14.400,,,,,,
J0878,Daptomycin injection,1 MG,0.618,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.954,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.954,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,12.942,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.628,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.628,,,,,,
J0894,Decitabine injection,1 MG,17.703,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.035,,,,,,
J0897,Denosumab injection,1 MG,17.332,,,,,,
