Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective October 1, 2010 through December 31, 2010",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q10 ASP data. ,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90371,"Hep b ig, im",1 ML,115.270,,,,,,,,,
90375,"Rabies ig, im/sc",150 IU,166.693,,,,,,,,,
90376,"Rabies ig, heat treated",150 IU,161.236,,,,,,,,,
90385,"Rh ig, minidose, im",50 MCG,24.656,,,,,,,,,
90585,"Bcg vaccine, percut",50 MG,111.989,,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,114.932,,,,,,,,,
90632,"Hep a vaccine, adult im",1 ML,45.358,,,,,,,,,
90655,"Flu vaccine no preserv 6-35m, im",0.25 ML,14.858,95,14.858,,,,,,Updated January 2011,
90656,"Flu vaccine no preserv 3 yo & >, im",0.50 ML,12.375,95,12.375,,,,,,,
90657,"Flu vaccine, 6-35 mo, im",0.25 ML,6.297,95,6.297,,,,,,,
90658,"Flu vaccine age 3 yo & over, im",0.5 ML,11.368,95,11.368,,,,,,,
90660,"Flu vaccine, nasal",0.2 ML,22.316,95,22.316,,,,,,,
90662,Flu vacc prsv free inc antig,0.5 ML,29.213,95,29.213,,,,,,Added October 2010,
90669,"Pneumococcal vacc, 7 val im",0.5 ML,95.481,95,95.481,,,,,,,
90670,"Pneumococcal vacc, 13 val im",0.5 ML,123.833,95,123.833,,,,,,Added October 2010,
90675,"Rabies vaccine, im",1 ML,202.568,,,,,,,,,
90691,"Typhoid vaccine, im",0.5 ML,60.092,,,,,,,,,
90703,"Tetanus vaccine, im",0.5 ML,27.350,,,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,19.528,,,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,40.459,,,,,,,,,
90717,"Yellow fever vaccine, sc",0.5 ML,64.840,,,,,,,,,
90718,"Td vaccine >/= 7 yo, im",0.5 ML,16.876,,,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,49.734,95,49.734,,,,,,,
90733,"Meningococcal vaccine, sc",0.5 ML,103.412,,,,,,,,,
90735,"Encephalitis vaccine, sc",1 ML,102.078,,,,,,,,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,119.415,95,119.415,,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,24.216,95,24.216,,,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,24.216,95,24.216,,,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,59.708,95,59.708,,,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,119.415,95,119.415,,,,,,,
A9576,Inj prohance multipack,1 ML,2.203,,,,,,,,,
A9577,Inj multihance,1 ML,2.503,,,,,,,,,
A9578,Inj multihance multipack,1 ML,2.227,,,,,,,,,
A9579,"Gad-base MR contrast NOS,1ml",1 ML,2.215,,,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,13.504,,,,,,,,,
J0129,Abatacept injection,10 MG,20.185,,,,,,,,,
J0130,Abciximab injection,10 MG,490.663,,,,,,,,,
J0132,Acetylcysteine injection,100 MG,2.720,,,,,,,,,
