Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2012 through December 31, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q12 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90371,"Hep b ig, im",1 ML,97.154,,,,,,,,,,
90375,"Rabies ig, im/sc",150 IU,207.349,,,,,,,,,,
90376,"Rabies ig, heat treated",150 IU,194.67,,,,,,,,,,
90385,"Rh ig, minidose, im",50 MCG,25.726,,,,,,,,,,
90585,"Bcg vaccine, percut",50 MG,116.144,,,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,116.811,,,,,,,,,,
90632,"Hep a vaccine, adult im",1 ML,49.847,,,,,,,,,,
90654,"Flu vaccine, intradermal, no preserv",0.1 ML,18.981,95,18.981,,,,,,,,
90655,"Flu vaccine no preserv 6-35m, im",0.25 ML,16.456,95,16.456,,,,,,,,
90656,"Flu vaccine no preserv 3 yo & >, im",0.50 ML,12.398,95,12.398,,,,,,,,
90657,"Flu vaccine, 6-35 mo, im",0.25 ML,6.023,95,6.023,,,,,,,,
90660,"Flu vaccine, nasal",0.2 ML,23.456,95,23.456,,,,,,,,
90662,Flu vacc prsv free inc antig,0.5 ML,30.923,95,30.923,,,,,,,,
90669,"Pneumococcal vacc, 7 val im",0.5 ML,95.481,95,95.481,,,,,,,,
90670,"Pneumococcal vacc, 13 val im",0.5 ML,137.028,95,137.028,,,,,,,,
90675,"Rabies vaccine, im",1 ML,208.725,,,,,,,,,,
90691,"Typhoid vaccine, im",0.5 ML,63.58,,,,,,,,,,
90703,"Tetanus vaccine, im",0.5 ML,34.674,,,,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,19.306,,,,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,34.656,,,,,,,,,,
90717,"Yellow fever vaccine, sc",0.5 ML,71.486,,,,,,,,,,
90718,"Td vaccine >/= 7 yo, im",0.5 ML,20.354,,,,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,65.774,95,65.774,,,,,,,,
90733,"Meningococcal vaccine, sc",0.5 ML,106.492,,,,,,,,,,
90735,"Encephalitis vaccine, sc",1 ML,102.078,,,,,,,,,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,119.415,95,119.415,,,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,24.216,95,24.216,,,,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,24.216,95,24.216,,,,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,59.708,95,59.708,,,,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,119.415,95,119.415,,,,,,,,
A9576,Inj prohance multipack,1 ML,1.949,,,,,,,,,,
