Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2016 through December 31, 2016",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q16 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90371,Hep b ig im,1 ML,111.332,,,,,,,,,,
90375,Rabies ig im/sc,150 IU,305.475,,,,,,,,,,
90376,Rabies ig heat treated,150 IU,294.585,,,,,,,,,,
90585,Bcg vaccine percut,50 MG,123.195,,,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,123.195,,,,,,,,,,
90630,Flu vacc iiv4 no preserv id,0.1 ml,20.343,95,20.343,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90632,"Hep a vaccine, adult im",1 ML,50.854,,,,,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,37.383,95,37.383,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90656,IIV3 VACC NO PRSV 0.5 ML IM,0.50 ML,17.717,95,17.717,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90662,Iiv no prsv increased ag im,0.5 ML,42.722,95,42.722,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90670,"Pneumococcal vacc, 13 val im",0.5 ML,181.061,95,181.061,,,,,,,,
90672,Laiv4 vaccine intranasal,0.2 ml,26.876,95,26.876,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90673,Riv3 vaccine no preserv im,0.5 ML,40.613,95,40.613,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90674,CCIIV4 VAC NO PRSV 0.5 ML IM,0.5 ML,22.936,95,22.936,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90675,Rabies vaccine im,1 ML,272.489,,,,,,,,,,
90685,IIV4 VACC NO PRSV 0.25 ML IM,0.25 mL,26.268,95,26.268,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90686,IIV4 VACC NO PRSV 0.5 ML IM,0.5 ml,19.032,95,19.032,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90687,IIV4 VACCINE SPLT 0.25 ML IM,0.25 ML,9.403,95,9.403,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90688,IIV4 VACCINE SPLT 0.5 ML IM,0.5 ML,17.835,95,17.835,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90691,"Typhoid vaccine, im",0.5 ML,84.037,,,,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,24.188,,,,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,31.367,,,,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,89.945,95,89.945,,,,,,,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,122.957,95,122.957,,,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,25.392,95,25.392,,,,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,25.392,95,25.392,,,,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,61.475,95,61.475,,,,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,122.957,95,122.957,,,,,,,,
A9575,Inj gadoterate meglumi 0.1 ml,0.1 ml,0.200,,,,,,,,,,
A9576,Inj prohance multipack,1 ML,1.611,,,,,,,,,,
A9577,Inj multihance,1 ML,2.080,,,,,,,,,,
A9578,Inj multihance multipack,1 ML,2.013,,,,,,,,,,
A9579,"Gad-base MR contrast NOS,1ml",1 ML,1.843,,,,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,13.949,,,,,,,,,,
A9583,Gadofosveset trisodium inj,1 ML,17.925,,,,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.388,,,,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,,,"
microCurie 100% AWP = $148.660
microCurie 100% WAC = $123.880
",,
J0129,Abatacept injection,10 MG,44.750,,,,,,,,,,
J0130,Abciximab injection,10 MG,1136.511,,,,,,,,,,
J0132,Acetylcysteine injection,100 MG,1.506,,,,,,,,,,
J0133,Acyclovir injection,5 MG,0.074,,,,,,,,,,
J0135,Adalimumab injection,20 MG,861.447,,,,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.630,,,,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.136,,,,,,,,,,
J0178,Aflibercept injection ,1 MG,980.455,,,,,,,,,,
J0180,Agalsidase beta injection,1 MG,164.415,,,,,,,,,,
J0202,"Injection, Alemtuzumab",1 MG,1738.364,,,,,,,,,,
J0207,Amifostine,500 MG,416.532,,,,,,,,,,
J0221,Lumizyme injection,10 MG,159.385,,,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.828,,,,,,,,,,
J0257,Glassia injection,10 MG,4.367,,,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.479,,,,,,,,,,
J0280,Aminophyllin 250 MG inj,250 MG,8.834,,,,,,,,,,
J0285,Amphotericin B,50 MG,27.935,,,95,10.280,,,,,,
J0287,Amphotericin b lipid complex,10 MG,13.407,,,95,21.850,,,,,,
J0289,Amphotericin b liposome inj,10 MG,19.012,,,95,35.800,,,,,,
J0290,Ampicillin 500 MG inj,500 MG,1.307,,,,,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,3.697,,,,,,,,,,
J0348,Anidulafungin injection,1 MG,0.507,,,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,4.591,,,,,,,,,,
J0401,Inj aripriprazole ext rel 1mg,1 MG,4.383,,,,,,,,,,
J0456,Azithromycin,500 MG,3.307,,,,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.036,,,,,,,,,,
J0470,Dimecaprol injection,100 MG,39.337,,,,,,,,,,
J0475,Baclofen 10 MG injection,10 MG,173.425,,,95,215.180,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,76.957,,,95,79.800,,,,,,
J0480,Basiliximab,20 MG,3196.111,,,,,,,,,,
J0485,Belatacept injection,1 MG,3.841,,,,,,,,,,
J0490,Belimumab injection,10 MG,42.018,,,,,,,,,,
J0500,Dicyclomine injection,20 MG,63.589,,,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,34.420,,,,,,,,,,
J0558,PenG benzathine/procaine inj,"100,000 UNITS",7.964,,,,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",10.307,,,,,,,,,,
J0583,Bivalirudin,1 MG,1.529,,,,,,,,,,
J0585,"Injection,onabotulinumtoxinA",1 UNIT,5.930,,,,,,,,,,
J0586,AbobotulinumtoxinA,5 Unit,7.902,,,,,,,,,,
J0587,"Inj, rimabotulinumtoxinB",100 UNITS,11.708,,,,,,,,,,
J0588,Incobotulinumtoxin A,1 UNIT,4.907,,,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,3.372,,,,,,,,,,
J0594,Busulfan injection,1 MG,38.372,,,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.423,,,,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,46.515,,,,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,55.546,,,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,,,,,
J0610,Calcium gluconate injection,10 ML,3.508,,,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2321.135,,,,,,,,,,
