Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective October 1, 2019 through December 31, 2019",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q19 ASP data.,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,110.667,,,,,,
90375,Rabies ig im/sc,150 IU,280.644,,,,,,
90376,Rabies ig heat treated,150 IU,271.374,,,,,,
90585,Bcg vaccine percut,50 MG,141.057,,,,,,
90586,Bcg vaccine intravesical,1 EACH,141.057,,,,,,
90632,Hepa vaccine adult im,1 ML,58.908,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.530,95,59.530,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90662,Iiv no prsv increased ag im,0.5 ML,56.006,95,56.006,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,215.333,95,215.333,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,Added October 2019 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,28.130,95,28.130,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,297.589,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,56.006,95,56.006,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,20.343,95,20.343,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,Typhoid vaccine im,0.5 ML,90.584,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,24.263,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,32.855,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,114.211,95,114.211,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,134.121,95,134.121,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,26.898,95,26.898,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,67.061,95,67.061,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,134.121,95,134.121,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,26.657,95,26.657,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.185,,,,,,
A9576,Inj prohance multipack,1 ML,1.418,,,,,,
A9577,Inj multihance,1 ML,1.936,,,,,,
A9578,Inj multihance multipack,1 ML,1.943,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.590,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.776,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.349,,,,,,
