Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective January 1, 2020 through March 31, 2020",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q19 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,115.936,,,,,,
90375,Rabies ig im/sc,150 IU,277.340,,,,,,
90376,Rabies ig heat treated,150 IU,278.695,,,,,,
90585,Bcg vaccine percut,50 MG,141.251,,,,,,
90586,Bcg vaccine intravesical,1 EACH,141.251,,,,,,
90632,Hepa vaccine adult im,1 ML,59.907,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.530,95,59.530,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90662,Iiv no prsv increased ag im,0.5 ML,56.006,95,56.006,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,214.620,95,214.620,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,28.130,95,28.130,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,277.816,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,56.006,95,56.006,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,20.343,95,20.343,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,Typhoid vaccine im,0.5 ML,104.445,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,25.106,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,33.637,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,114.211,95,114.211,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,134.121,95,134.121,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,26.898,95,26.898,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,67.061,95,67.061,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,134.121,95,134.121,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,26.657,95,26.657,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.183,,,,,,
A9576,Inj prohance multipack,1 ML,1.407,,,,,,
A9577,Inj multihance,1 ML,1.928,,,,,,
A9578,Inj multihance multipack,1 ML,1.906,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.546,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.745,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.362,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1145.160,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"microCurie 100% AWP = $164.380
microCurie 100% WAC = $136.980"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.443,,,,,,Added January 2020
J0122,"Inj., eravacycline, 1 mg",1 MG,1.018,,,,,,Added January 2020
J0129,Abatacept injection,10 MG,54.849,,,,,,
J0130,Abciximab injection,10 MG,1429.071,,,,,,
J0132,Acetylcysteine injection,100 MG,0.908,,,,,,
J0133,Acyclovir injection,5 MG,0.054,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.623,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.818,,,,,,
J0178,Aflibercept injection,1 MG,945.029,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,317.583,,,,,,Added January 2020
J0180,Agalsidase beta injection,1 MG,183.745,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,2.129,,,,,,Updated July 2020
J0202,"Injection, alemtuzumab",1 MG,1949.170,,,,,,
J0207,Amifostine,500 MG,1011.889,,,,,,
J0221,Lumizyme injection,10 MG,171.209,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,98.346,,,,,,Added January 2020
J0256,Alpha 1 proteinase inhibitor,10 MG,4.451,,,,,,
J0257,Glassia injection,10 MG,4.855,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.276,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,10.533,,,,,,
J0285,Amphotericin b,50 MG,38.077,,,,,,
J0287,Amphotericin b lipid complex,10 MG,9.058,,,,,,
J0289,Amphotericin b liposome inj,10 MG,26.726,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.980,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.577,,,,,,
J0348,Anidulafungin injection,1 MG,0.524,,,,,,
J0360,Hydralazine hcl injection,20 MG,3.751,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.702,,,,,,
J0456,Azithromycin,500 MG,2.599,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.079,,,,,,
J0470,Dimecaprol injection,100 MG,54.761,,,,,,
J0475,Baclofen 10 mg injection,10 MG,173.600,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,60.068,,,,,,
J0480,Basiliximab,20 MG,3808.080,,,,,,
J0485,Belatacept injection,1 MG,3.772,,,,,,
J0490,Belimumab injection,10 MG,45.491,,,,,,
J0500,Dicyclomine injection,20 MG,53.323,,,,,,
J0515,Inj benztropine mesylate,1 MG,17.731,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,170.491,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",10.866,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",13.764,,,,,,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.787,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1211.270,,,,,,
J0583,Bivalirudin,1 MG,0.566,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,353.285,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.122,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.402,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,11.988,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.011,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.749,,,,,,
J0594,Busulfan injection,1 MG,4.894,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.473,,,,,,
J0596,"Injection, ruconest",10 UNITS,28.077,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,51.321,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,56.482,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,
J0610,Calcium gluconate injection,10 ML,3.439,,,,,,AMP-based payment limit
J0630,Calcitonin salmon injection,400 UNITS,2656.481,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.736,,,,,,
J0637,Caspofungin acetate,5 MG,7.031,,,,,,
J0638,Canakinumab injection,1 MG,111.002,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.329,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.166,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,2.006,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,2.328,,,,,,AMP-based payment limit
J0690,Cefazolin sodium injection,500 MG,0.817,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.779,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.292,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),5.925,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.599,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.222,,,,,,
J0698,Cefotaxime sodium injection,1 GM,2.332,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,7.072,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.178,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.028,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,92.026,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,8.207,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,38.935,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,21.871,,,,,,
J0735,Clonidine hydrochloride,1 MG,17.090,,,,,,
J0740,Cidofovir injection,375 MG,633.402,,,,,,
J0743,Cilastatin sodium injection,250 MG,5.685,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.162,,,,,,
J0770,Colistimethate sodium inj,150 MG,19.718,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,48.727,,,,,,
J0780,Prochlorperazine injection,10 MG,8.639,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,9.239,,,,,,
