Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective April 1, 2020 through June 30, 2020",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q19 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,117.829,,,,,,
90375,Rabies ig im/sc,150 IU,341.480,,,,,,
90376,Rabies ig heat treated,150 IU,226.799,,,,,,
90586,Bcg vaccine intravesical,1 EACH,140.339,,,,,,
90632,Hepa vaccine adult im,1 ML,59.924,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.530,95,59.530,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90662,Iiv no prsv increased ag im,0.5 ML,56.006,95,56.006,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,230.141,95,230.141,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,28.130,95,28.130,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,286.202,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,56.006,95,56.006,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,20.343,95,20.343,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,Typhoid vaccine im,0.5 ML,109.188,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,24.630,,,,,,Updated July 2020
90715,Tdap vaccine 7 yrs/> im,0.5 ML,33.096,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,119.921,95,119.921,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,28.208,95,28.208,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,69.648,95,69.648,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,26.657,95,26.657,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.178,,,,,,
A9576,Inj prohance multipack,1 ML,1.415,,,,,,
A9577,Inj multihance,1 ML,1.886,,,,,,
A9578,Inj multihance multipack,1 ML,1.858,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.554,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.743,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.375,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1173.378,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"microCurie 100% AWP = $164.380
microCurie 100% WAC = $136.980"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.306,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.018,,,,,,
J0129,Abatacept injection,10 MG,55.083,,,,,,
