Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective April 1, 2021 through June 30, 2021",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q20 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,126.275,,,,,,
90375,Rabies ig im/sc,150 IU,336.552,,,,,,
90376,Rabies ig heat treated,150 IU,310.583,,,,,,
90586,Bcg vaccine intravesical,1 EACH,142.790,,,,,,
90632,Hepa vaccine adult im,1 ML,58.762,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.529,95,59.529,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90662,Iiv no prsv increased ag im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,241.383,95,241.383,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,29.228,95,29.228,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,347.176,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.129,95,21.129,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.581,95,19.581,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.584,95,9.584,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,19.168,95,19.168,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,61.000,95,61.000,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90714,Td vacc no presv 7 yrs+ im,0.5 ML,25.097,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,33.216,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,125.918,95,125.918,,,,
90739,Hepb vacc 2 dose adult im,1 dose,137.370,95,137.370,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,28.219,95,28.219,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,69.648,95,69.648,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,27.695,95,27.695,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.162,,,,,,
A9576,Inj prohance multipack,1 ML,1.415,,,,,,
A9577,Inj multihance,1 ML,1.807,,,,,,
A9578,Inj multihance multipack,1 ML,1.758,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.530,,,,,,
