Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective January 1, 2021 through March 31, 2021",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q20 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,126.858,,,,,,
90375,Rabies ig im/sc,150 IU,271.366,,,,,,
90376,Rabies ig heat treated,150 IU,237.368,,,,,,
90586,Bcg vaccine intravesical,1 EACH,142.504,,,,,,
90632,Hepa vaccine adult im,1 ML,60.696,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.529,95,59.529,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90662,Iiv no prsv increased ag im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,230.141,95,230.141,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,29.228,95,29.228,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,318.056,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.129,95,21.129,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.581,95,19.581,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.584,95,9.584,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,19.168,95,19.168,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,Typhoid vaccine im,0.5 ML,123.681,,,,,,
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,61.000,95,61.000,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90714,Td vacc no presv 7 yrs+ im,0.5 ML,25.371,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,34.060,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,119.921,95,119.921,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,140.756,95,140.756,,,,
