Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective July 1, 2021 through September 30, 2021",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q21 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,131.857,,,,,,
90375,Rabies ig im/sc,150 IU,297.804,,,,,,
90376,Rabies ig heat treated,150 IU,309.099,,,,,,
90586,Bcg vaccine intravesical,1 EACH,142.511,,,,,,
90632,Hepa vaccine adult im,1 ML,62.913,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.529,95,59.529,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90662,Iiv no prsv increased ag im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,241.383,95,241.383,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,29.228,95,29.228,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,326.614,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.129,95,21.129,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.581,95,19.581,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.584,95,9.584,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,19.168,95,19.168,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,61.000,95,61.000,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90714,Td vacc no presv 7 yrs+ im,0.5 ML,27.737,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,35.654,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,125.918,95,125.918,,,,
90739,Hepb vacc 2 dose adult im,1 dose,144.210,95,144.210,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,28.219,95,28.219,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,69.648,95,69.648,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,27.695,95,27.695,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.162,,,,,,
A9576,Inj prohance multipack,1 ML,1.473,,,,,,
A9577,Inj multihance,1 ML,1.878,,,,,,
A9578,Inj multihance multipack,1 ML,1.899,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.602,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.700,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.350,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1205.082,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"microCurie 100% AWP = $169.090
microCurie 100% WAC = $140.910"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.288,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.018,,,,,,
J0129,Abatacept injection,10 MG,45.323,,,,,,"""lesser of"" methodology applied"
J0132,Acetylcysteine injection,100 MG,0.812,,,,,,
J0133,Acyclovir injection,5 MG,0.040,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.597,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.800,,,,,,
J0178,Aflibercept injection,1 MG,916.409,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,310.792,,,,,,
J0180,Agalsidase beta injection,1 MG,196.217,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.612,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2052.475,,,,,,
J0221,Lumizyme injection,10 MG,176.948,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,97.585,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,106.756,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.563,,,,,,
J0257,Glassia injection,10 MG,4.971,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.203,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,6.110,,,,,,
J0285,Amphotericin b,50 MG,42.931,,,,,,
J0287,Amphotericin b lipid complex,10 MG,9.424,,,,,,
J0289,Amphotericin b liposome inj,10 MG,28.334,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.843,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.045,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.788,,,,,,
J0348,Anidulafungin injection,1 MG,0.581,,,,,,
J0360,Hydralazine hcl injection,20 MG,5.694,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.916,,,,,,
J0456,Azithromycin,500 MG,3.884,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.095,,,,,,
J0475,Baclofen 10 mg injection,10 MG,179.420,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,58.454,,,,,,
J0480,Basiliximab,20 MG,4029.227,,,,,,
J0485,Belatacept injection,1 MG,3.804,,,,,,
J0490,Belimumab injection,10 MG,47.578,,,,,,
J0500,Dicyclomine injection,20 MG,29.120,,,,,,
J0515,Inj benztropine mesylate,1 MG,17.325,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,172.612,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",12.041,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",15.194,,,,,,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.753,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1311.750,,,,,,
J0583,Bivalirudin,1 MG,0.338,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,369.030,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.076,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.196,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.023,,,,,,Updated October 2021
J0588,Incobotulinumtoxin a,1 UNIT,5.044,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.299,,,,,,
J0594,Busulfan injection,1 MG,1.945,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,3.024,,,,,,
J0596,"Injection, ruconest",10 UNITS,30.251,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,57.494,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,58.211,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5708.594,,,,,,
J0610,Calcium gluconate injection,10 ML,4.343,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,3036.606,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.716,,,,,,
J0637,Caspofungin acetate,5 MG,6.989,,,,,,
J0638,Canakinumab injection,1 MG,115.423,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.629,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.080,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.702,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,2.791,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.797,,,,,,
J0691,Inj lefamulin 1 mg,1 MG,0.724,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.889,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.183,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),6.637,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.560,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.016,,,,,,
J0698,Cefotaxime sodium injection,1 GM,2.775,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.804,,,,,,Updated October 2021
J0712,Ceftaroline fosamil inj,10 MG,3.539,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.899,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,92.460,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,6.523,,,,,,"""lesser of"" methodology applied"
J0720,Chloramphenicol sodium injec,1 GM,36.053,,,,,,AMP-based payment limit
J0725,Chorionic gonadotropin/1000u,1000 UNITS,24.646,,,,,,
J0735,Clonidine hydrochloride,1 MG,29.487,,,,,,
J0740,Cidofovir injection,375 MG,589.784,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.303,,,,,,
J0743,Cilastatin sodium injection,250 MG,7.641,,,,,,
J0744,Ciprofloxacin iv,200 MG,0.969,,,,,,
J0770,Colistimethate sodium inj,150 MG,16.137,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,54.402,,,,,,
J0780,Prochlorperazine injection,10 MG,5.182,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,123.279,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,9.673,,,,,,
J0800,Corticotropin injection,40 UNITS,3859.005,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,26.299,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2866.131,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,1265.466,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1520.652,,,,,,
J0875,"Injection, dalbavancin",5 MG,15.797,,,,,,
J0878,Daptomycin injection,1 MG,0.080,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.195,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.195,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,8.223,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.531,,,,,,
